art_id,search_folders
1649752,search_4
1816711,search_4
3201245,search_1
3252542,search_4
3523190,search_4
3594439,search_4
3792594,search_6
4250625,search_4
4571445,search_4
4674246,search_6
5084725,search_4
5171921,search_4
5171945,search_6
5217499,search_4
5385136,search_4
5399112,search_4
5456738,search_4
5599709,search_5
5838994,search_4
5962230,search_4
5979776,search_4
6026068,search_4
6067020,search_4
6209487,search_4
6380561,search_4
6407141,search_4
6861696,search_1
6863385,search_1
7251518,search_4
7368668,search_4
7410477,search_4
7504494,search_4
7685725,search_1
8283260,search_4
8517681,search_4
8937589,search_4
9793971,search_4
9861267,search_4
9948978,search_4
10037795,search_4
10049011,search_4
10862590,search_4
10876161,search_4
11001921,search_1
11521705,search_4
11678703,search_4
11747161,search_4
13343233,search_4
13423514,search_1
13594994,search_4
13784307,search_1;search_2
13966300,search_4
14190831,search_2
14584402,search_4
14592306,search_1
14661745,search_4
14748706,search_4
14921004,search_4
16695866,search_2
17425725,search_4
19430062,search_2
19788318,search_2
19905168,search_4
19927383,search_2
19927387,search_2
20237526,search_4
20237543,search_4
20249953,search_1
20465580,search_1;search_3
20736404,search_4
20981646,search_4
21032400,search_4
21259938,search_1
21292104,search_4
21429607,search_4
22318207,search_4
22363945,search_4
22427781,search_4
22936922,search_4
23153084,search_1
23382449,search_4
23449053,search_5
23966788,search_2
24044504,search_4
24193258,search_4
24365614,search_4
24370894,search_1
24400633,search_1
24484659,search_4
24955399,search_1;search_3
26221361,search_4
26478925,search_1
26551441,search_6
26610202,search_1
26993155,search_4
27020984,search_4
27066197,search_4
27642192,search_4
27825929,search_4
28332669,search_4
28974197,search_4
29613982,search_5
29669466,search_1;search_2
30076108,search_6
30243132,search_4
30613245,search_2
30744799,search_6
30744819,search_6
30800072,search_6
31594748,search_2
32018223,search_1
32146582,search_1;search_2
33577709,search_4
33722218,search_4
33867459,search_4
33867550,search_4
34042725,search_1;search_2
35036494,search_2
35418439,search_2
35968828,search_1
36043225,search_2
37205158,search_4
37339995,search_5
37700774,search_2
37802717,search_6
37802722,search_6
37802724,search_6
37802725,search_6
37802728,search_6
37802729,search_6
37802732,search_6
37802734,search_6
37802737,search_6
38018048,search_5
38048725,search_2
38067343,search_2
38119737,search_1
38140374,search_1;search_2
38221927,search_2
38221929,search_2
38420450,search_4
38637002,search_2
38795205,search_1
38817692,search_4
38827121,search_2
38827131,search_2
38827132,search_2
39912676,search_5
40261919,search_1
40306019,search_1
40328416,search_2
40545169,search_1
40630553,search_4
40714482,search_2
40882534,search_4
40903053,search_4
41144514,search_1
41229877,search_1
41306001,search_2
41330936,search_2
41352264,search_1;search_2
41352301,search_2
41732924,search_2
41905328,search_2
41940968,search_1
42527395,search_4
42536563,search_1
42715840,search_5
42715926,search_5
42716314,search_1
42968646,search_2
42986633,search_1
43099976,search_6
43099978,search_6
43099986,search_6
43327811,search_1
43559799,search_1
43576415,search_1
43838651,search_2
43838663,search_1;search_2
43861562,search_1
43952393,search_2
43956499,search_1
43971080,search_1;search_5
43971081,search_5
44555556,search_1
44689665,search_5
44689666,search_5
44861264,search_1
44868149,search_4
45281681,search_4
45326291,search_2
45349438,search_1
45349855,search_1
45954057,search_2
45960324,search_1
45969061,search_6
45969075,search_6
46133432,search_2
46182666,search_2
46210001,search_2
46353953,search_1;search_2
