art_id,search_folders
106846,search_3
133859,search_2;search_3
524564,search_3
661532,search_3
727775,search_3
758109,search_3
767835,search_1
927786,search_3
938173,search_3
946180,search_3
976170,search_3
987449,search_1;search_3
996441,search_1;search_3
996448,search_3
1112207,search_3
1112253,search_1
1113019,search_3
1192065,search_3
1202734,search_3
1202735,search_3
1210393,search_3
1256642,search_3
1259109,search_1
1262246,search_3
1452917,search_3
1496944,search_1;search_3
1500130,search_3
1729265,search_3
1791678,search_1
1805600,search_1
1829854,search_3
1868834,search_3
1885093,search_1;search_3
1920959,search_3
2037273,search_3
2042174,search_3
2114209,search_3
2114234,search_3
2374759,search_3
2591658,search_3
2664948,search_1
2791903,search_2
3050941,search_2
3430722,search_3
3465233,search_2
3496423,search_3
4006592,search_2
4006596,search_2
4786347,search_2
4930494,search_1
5055507,search_3
5538328,search_3
6387730,search_2
6469680,search_3
7532953,search_2
7616644,search_3
7820940,search_3
7915489,search_1
7917424,search_1
8072257,search_3
8611027,search_1
8612413,search_1
8743879,search_1
8835902,search_1
8869525,search_2
8887494,search_2
9005020,search_3
9367334,search_1;search_3
9617674,search_2
9623130,search_3
9654403,search_3
9798799,search_3
10092394,search_1
10428264,search_1
10540179,search_1
10543323,search_3
10644447,search_1
10821208,search_3
11768075,search_1
11772788,search_3
11790378,search_1
12094629,search_3
12664853,search_3
12734708,search_1
13367361,search_1
13436385,search_1
13459044,search_2
13658437,search_2
13837314,search_3
13876493,search_2
13951016,search_1;search_3
14029949,search_1
14890187,search_2
15070284,search_2
15276873,search_1
15668703,search_2
15734221,search_3
15878048,search_1
15878699,search_3
15973746,search_1
16149954,search_4
16198501,search_4
17681515,search_4
17951731,search_1
18388836,search_1
18397114,search_1
18549602,search_1
19920764,search_1
20237689,search_4
20399721,search_2
20513092,search_2
20657389,search_3
20686398,search_4
20686547,search_4
20686850,search_4
20696598,search_3
20749110,search_1
20821223,search_1
20857087,search_2
20957444,search_4
20983143,search_3
21039781,search_2
21095908,search_3
21190308,search_3
21298030,search_1
21432103,search_1
21441445,search_3
21682595,search_3
21753277,search_4
21755749,search_4
21755756,search_4
21756733,search_4
21762551,search_4
21833120,search_3
21833130,search_3
21991809,search_4
21992238,search_1
22277724,search_3
22486953,search_3
22487039,search_1
22502331,search_3
22552131,search_2
22743929,search_3
22792407,search_1
22840533,search_4
22877116,search_2
22969651,search_1
23014468,search_4
23053910,search_4
23231984,search_3
23356018,search_3
23454965,search_2
23829427,search_1
23854216,search_3
23881660,search_4
23898717,search_3
24223154,search_1
24433253,search_3
24811245,search_3
24884942,search_1
24911957,search_2
24919221,search_3
24952937,search_4
25062653,search_2
25129979,search_4
25129995,search_4
25130009,search_4
25130047,search_4
25130171,search_4
25234689,search_4
25459373,search_2
25476211,search_3
25512907,search_3
25513008,search_1
25540823,search_4
25540824,search_4
25540836,search_4
25588132,search_3
25662823,search_2
25971389,search_4
25971392,search_4
25971394,search_4
26006125,search_4
26014365,search_2
26058906,search_4
26094844,search_1
26509395,search_4
26509397,search_4
27098819,search_2
27119243,search_4
27119246,search_4
27135728,search_3
27207248,search_1
27208474,search_1
27226560,search_1
27285217,search_3
27385295,search_3
27590212,search_4
27670565,search_2
27764325,search_3
27771423,search_4
27961007,search_4
27997063,search_4
28164369,search_1;search_3
28164375,search_3
28481859,search_2
28494106,search_3
28609719,search_1
28653106,search_3
28854880,search_4
28871025,search_1
28871983,search_2
29148310,search_4
29174997,search_4
29175017,search_4
30046979,search_4
30046980,search_4
30229108,search_4
30315828,search_4
30348860,search_1
30418055,search_3
30591906,search_1
30773466,search_3
30916035,search_4
30918003,search_2
31108269,search_2
31290037,search_4
31290056,search_4
31290460,search_4
31290683,search_4
31344902,search_3
31399459,search_3
31634831,search_4
31691581,search_3
31906247,search_1
32192302,search_4
32332595,search_4
32433624,search_4
32433629,search_4
32484996,search_1
33217408,search_4
33335330,search_3
33726373,search_1;search_3
33762685,search_4
33763167,search_4
33892894,search_3
34037826,search_3
34045660,search_3
34473581,search_1
34526342,search_2
34656627,search_1
34993552,search_1
35770569,search_4
35785145,search_4
35995377,search_4
36053216,search_2
36508928,search_4
36528067,search_1
36535120,search_1
36621008,search_3
36637683,search_2
37071065,search_1
37076530,search_4
37076553,search_4
37129554,search_4
37129589,search_4
37376433,search_4
37754054,search_4
37754168,search_1
37787532,search_1
37803009,search_4
37856526,search_2
37905659,search_2
38068073,search_1
38593102,search_1
38631634,search_2
38827868,search_2
38993712,search_1
39048660,search_4
39306690,search_2
39439885,search_1
39534198,search_1
40303728,search_4
40401681,search_2
40669258,search_1
40832166,search_2
40957417,search_2
41221006,search_2
41378465,search_2
41769213,search_2
41843332,search_2
