art_id,search_folders,selection_reason
49020748,search_5,proportional
49458706,search_5,proportional
49128385,search_5,min_requirement
45094893,search_5,proportional
49458761,search_5,proportional
49454465,search_5,proportional
49128380,search_5,proportional
49128368,search_5,proportional
49128574,search_5,proportional
45095200,search_5,proportional
49159956,search_5,proportional
49454214,search_5,proportional
50138674,search_5,proportional
45979220,search_5,proportional
49458891,search_5,proportional
49128585,search_5,min_requirement
49454438,search_5,proportional
48996056,search_5,proportional
57426498,search_5,proportional
45094863,search_5,min_requirement
49350250,search_5,proportional
45094860,search_5,proportional
45095289,search_5,min_requirement
50138866,search_5,proportional
49454379,search_5,proportional
50138827,search_5,proportional
53175253,search_5,min_requirement
49458628,search_5,proportional
45095251,search_5,proportional
45095298,search_5,proportional
53175261,search_5,proportional
57164590,search_5,proportional
49454409,search_5,proportional
50138869,search_5,proportional
51247439,search_5,min_requirement
49454525,search_5,proportional
45095203,search_5,proportional
51512841,search_5,proportional
52929427,search_5,proportional
45978574,search_5,proportional
49289090,search_5,proportional
49128616,search_5,proportional
49128571,search_5,proportional
49454182,search_5,proportional
48921431,search_5,proportional
24487530,search_6,min_requirement
49351485,search_5,proportional
45095243,search_5,proportional
49183355,search_5,proportional
50138902,search_5,proportional
50138880,search_5,proportional
49459022,search_5,proportional
49454699,search_5,proportional
49130133,search_5,proportional
53088849,search_5,proportional
49458754,search_5,proportional
45978513,search_5,min_requirement
45095234,search_5,proportional
49182221,search_5,proportional
50789421,search_5,min_requirement
49203401,search_5,proportional
52929360,search_5,proportional
45978567,search_5,proportional
50312703,search_5,proportional
45095295,search_5,proportional
53009014,search_5,proportional
49159951,search_5,proportional
45095287,search_5,min_requirement
49313349,search_5,proportional
55683647,search_5,proportional
51011860,search_5,proportional
45094880,search_5,proportional
49030919,search_5,min_requirement
51011848,search_5,proportional
50138912,search_5,proportional
50789425,search_5,proportional
49130145,search_5,proportional
45094857,search_5,proportional
45094861,search_5,proportional
49459071,search_5,proportional
45095235,search_5,proportional
47234202,search_5,proportional
57426530,search_5,proportional
49323481,search_5,proportional
47234201,search_5,proportional
49128532,search_5,proportional
49300037,search_5,proportional
49128607,search_5,proportional
47234205,search_5,proportional
50138662,search_5,proportional
49159955,search_5,proportional
50138679,search_5,proportional
45095210,search_5,proportional
51011855,search_5,proportional
49130140,search_5,proportional
51289241,search_5,proportional
48996544,search_5,proportional
52047217,search_5,proportional
49459097,search_5,proportional
49159952,search_5,proportional
