art_id,search_folders
2799272,search_1
2842139,search_1;search_3
2972436,search_1
2982799,search_1;search_3
2982805,search_1;search_3
2991513,search_1;search_3
3460728,search_1
3551988,search_1;search_3
3612756,search_3
3663391,search_1
4123435,search_1;search_3
4134268,search_4
4374123,search_1
4432362,search_4
4614162,search_4
4614654,search_1
4660475,search_4
4829322,search_1;search_3
5238823,search_1;search_3
5658418,search_1
5847792,search_3
5909456,search_4
5941825,search_3
6036366,search_1;search_3
6122383,search_4
6141894,search_4
6260358,search_4
6351046,search_1;search_3
6372731,search_4
6372744,search_4
6392539,search_4
6425566,search_4
6567615,search_4
6767175,search_4
6805489,search_4
6883593,search_4
6883770,search_4
7146579,search_1;search_3
7202545,search_4
7364600,search_1;search_3
7485640,search_4
8103327,search_2
8709412,search_1
8876916,search_1;search_3
9063242,search_4
9258481,search_4
9400583,search_1
9439333,search_4
9703095,search_1;search_3
9766656,search_4
9790404,search_4
9893286,search_1
10237578,search_3
10283344,search_4
10299742,search_2
10343095,search_2
10343226,search_4
10485166,search_1
10635189,search_4
10718995,search_4
10814071,search_4
10849860,search_2
11089341,search_2
11090097,search_4
11308481,search_4
12151337,search_4
12151437,search_4
13469744,search_3
13469747,search_1
13661023,search_4
13841270,search_3
13841288,search_4
13841336,search_1;search_3;search_4
13841385,search_4
13841401,search_4
13841447,search_1;search_3
13853653,search_4
13858730,search_1
13908458,search_4
13908476,search_4
13966349,search_3;search_4
13966360,search_4
13996413,search_4
13996437,search_4
13996458,search_4
14240226,search_1;search_3
15286739,search_1;search_3
15333520,search_3
16231954,search_1
16237973,search_3
16721782,search_3
17143103,search_1;search_3
17220649,search_1
17627817,search_3
17677141,search_2
17744266,search_3
17901404,search_1;search_3
18036571,search_1;search_3
18036583,search_2
18036586,search_1;search_3
19531116,search_1;search_3
19899919,search_2
20163366,search_1;search_3
20163404,search_3
20163439,search_2;search_3
20236544,search_3
20236559,search_3
20278586,search_1;search_3
20332713,search_2
20332722,search_1
20583975,search_1
20625115,search_1;search_3
20982800,search_1;search_3
20996222,search_1;search_3
21022363,search_1;search_2;search_3
21097814,search_1;search_3
21115857,search_1
21198001,search_1;search_2;search_3
21198022,search_1;search_3
21257624,search_1;search_3
21257634,search_1
21322797,search_2;search_3
21408456,search_1;search_3
21568239,search_2
21659708,search_1
21787924,search_2
21820531,search_2
21820624,search_2
21833108,search_3
21884787,search_1;search_2;search_3
22324967,search_1;search_2;search_3
22452117,search_1
22457488,search_2
23102048,search_1
23273230,search_4
23273269,search_1;search_3
23308821,search_6
23422921,search_2
23593543,search_2
23672682,search_1
23698787,search_2
23718312,search_1;search_3
23744437,search_3
23744822,search_2
23744923,search_2
23745136,search_2
23748361,search_3
25507942,search_4
25512973,search_1;search_3
25522706,search_4
25557427,search_4
25659248,search_2
25666178,search_2
25666185,search_2
26756594,search_1;search_3
27011398,search_4
27163141,search_2
27242894,search_4
27259411,search_4
27259544,search_4
27259551,search_4
27259555,search_4
27310581,search_4
27310613,search_4
27310630,search_2;search_4
27310640,search_2
27445876,search_4
27904112,search_1
27904113,search_1
28018849,search_2;search_3
28164728,search_2
28197864,search_2
28197876,search_1;search_3
28197883,search_3
28197890,search_3
28209113,search_2
28334397,search_2
28350146,search_1;search_3
28706045,search_4
29333548,search_2
29638482,search_1;search_2;search_3
29644231,search_2
30064313,search_1
30342425,search_2
30488870,search_1
30904717,search_1
31132329,search_1
31169113,search_1;search_3
31619533,search_1
31665526,search_4
31720358,search_4
31721812,search_4
31768180,search_1;search_3
31780580,search_2
32033158,search_1
32088031,search_2
32088034,search_2
32088052,search_2
32088064,search_2
32145092,search_2
32217289,search_2
32793023,search_4
32915039,search_6
33147666,search_1
33169843,search_1
34124106,search_6
34682211,search_4
34895076,search_1
35214233,search_2
35297207,search_2
35297213,search_2
35297216,search_2
35585346,search_1
35591542,search_1
35599547,search_2
35629642,search_1;search_2
35932353,search_1
35932487,search_1
35972098,search_1;search_2
36323444,search_1;search_2;search_3
36353189,search_2
36603540,search_2
36664568,search_1
36664578,search_1;search_3
37012662,search_2
37097847,search_1
37285319,search_1;search_3
37914449,search_3
37921015,search_2
38103126,search_2
38239869,search_1;search_3
38366717,search_2
38412701,search_2
38521276,search_2
38529085,search_2
39325893,search_4
39664680,search_6
40290166,search_2
40629013,search_4
41400628,search_2
41445679,search_4
41535225,search_2
41540727,search_1
41543666,search_3
41609268,search_2
41617981,search_1
41808090,search_2;search_4
42402748,search_2
42524956,search_2
42681997,search_4
42832085,search_1;search_3
42847737,search_6
43115394,search_1
43506535,search_4
43791544,search_2
43838096,search_4
44050080,search_2
44063699,search_1;search_3;search_4
44677232,search_2
44836364,search_6
44836440,search_6
44841822,search_6
44882032,search_2
44919115,search_2
44955147,search_6
44959641,search_6
44962027,search_2
44974832,search_6
44976914,search_6
44977178,search_6
45085091,search_4;search_6
45201206,search_4
45204543,search_6
45312449,search_1
45458231,search_6
45460220,search_6
45475164,search_6
45475167,search_6
45475168,search_6
45475169,search_6
45475171,search_6
45481510,search_6
45694690,search_4
45740298,search_2
46634518,search_6
46644033,search_6
46644066,search_6
46644067,search_6
46644069,search_6
46644070,search_6
46644071,search_6
46644090,search_6
46644094,search_6
46644095,search_6
46644096,search_6
46644098,search_6
46644112,search_6
46644139,search_6
46644140,search_6
46644141,search_6
46644143,search_6
46644146,search_6
46644151,search_6
46644156,search_6
46644247,search_6
46644253,search_6
46644259,search_6
46644280,search_6
46644289,search_6
46644308,search_6
46644309,search_6
46644311,search_6
46644312,search_6
46646631,search_6
46646635,search_6
46649393,search_6
46649394,search_6
46649397,search_6
46649400,search_6
46649402,search_6
46649422,search_6
46654324,search_6
46894156,search_6
46894158,search_6
46894161,search_6
46894162,search_6
46894177,search_6
46894179,search_6
46894180,search_6
46894181,search_6
46894538,search_6
46945161,search_6
46945163,search_6
46945165,search_6
46945167,search_6
46945169,search_6
46949520,search_6
46949521,search_6
46949522,search_6
46949523,search_6
46949524,search_6
46955201,search_3
46957046,search_6
46957048,search_6
46957050,search_6
46957052,search_6
46960549,search_4
46965825,search_2
46973186,search_4
46973224,search_4
46973234,search_4
46978815,search_6
47001833,search_4
47415882,search_2
47415923,search_2
47607905,search_4
48101886,search_2
48118828,search_2
48125159,search_4
48187954,search_4
48193183,search_2
48291748,search_4
48371452,search_2
48478804,search_2
48494309,search_4
48852301,search_2
48992589,search_2
49314305,search_5
49314306,search_5
49322816,search_5
49322817,search_5
49322818,search_5
49324126,search_5
49324127,search_5
49349578,search_5
49349579,search_5
49368258,search_5
49368259,search_5
49689271,search_4
49875174,search_5
50334430,search_2
50361100,search_2
50717998,search_5
50765542,search_5
50765543,search_5
50797494,search_5
50797495,search_5
50797496,search_5
50897110,search_5
50992629,search_5
51113356,search_2;search_6
51135060,search_5
51168033,search_5
51168034,search_5
51174708,search_5
51174709,search_5
51192630,search_5
51251638,search_5
51255704,search_4
51278633,search_5
51298315,search_4
51305040,search_5
51329745,search_5
51329746,search_5
51329747,search_5
51329748,search_5
51344728,search_5
51402092,search_5
51402093,search_5
51422467,search_5
51422468,search_5
51444034,search_5
51444035,search_5
51452186,search_5
51512504,search_5
51536220,search_5
51549122,search_5
51566070,search_5
51566071,search_5
51611196,search_5
51615067,search_3
51615086,search_2;search_3
51640799,search_5
51656320,search_5
51667016,search_5
51667017,search_5
51672153,search_5
51679633,search_1;search_2;search_3
51721473,search_5
51747226,search_5
51747227,search_5
51808531,search_2
51821331,search_5
51821332,search_5
51978289,search_5
52134778,search_5
52134779,search_5
52187686,search_2
52760070,search_5
52860176,search_5
52891042,search_5
52891043,search_5
53029345,search_5
53088579,search_5
53174949,search_5
53280623,search_2
53281154,search_5
53630840,search_6
53630841,search_6
53630843,search_6
53630847,search_6
53630850,search_6
53630851,search_6
53630852,search_6
53630853,search_6
53630854,search_6
53630855,search_6
53630856,search_6
53630857,search_6
53630861,search_6
54032889,search_4
54037534,search_5
54038336,search_5
54038346,search_5
54038355,search_5
54038361,search_5
54476216,search_4
54535738,search_4
54535746,search_4
54793643,search_4
54797020,search_5
54797027,search_5
54797031,search_5
55224505,search_5
55224506,search_5
55224507,search_5
55224508,search_5
55224509,search_5
55224510,search_5
55224511,search_5
55224512,search_5
55224513,search_5
55224514,search_5
55224515,search_5
55224516,search_5
55224518,search_5
55224519,search_5
55224520,search_5
55224521,search_5
55224522,search_5
55224523,search_5
55640254,search_5
55895300,search_2
55991383,search_4
56157714,search_5
56157724,search_5
56235295,search_5
56235323,search_5
56533743,search_4
56533746,search_4
56654570,search_6
56675466,search_5
56857152,search_1;search_4
57031132,search_2
57031261,search_2
57230657,search_4
57741158,search_3
58466942,search_1
