art_id,search_folders,selection_reason
35412851,search_1;search_2,multi_folder
50619396,search_1,proportional
54851518,search_1;search_3,multi_folder
54218125,search_2,fill_to_target
53756916,search_1;search_2,multi_folder
47520239,search_1,proportional
54218153,search_2,proportional
57746912,search_1,fill_to_target
50619274,search_1,proportional
56786129,search_1;search_2,multi_folder
53756831,search_1,fill_to_target
56186306,search_1,proportional
50619654,search_1,proportional
42218500,search_1;search_2,multi_folder
53756871,search_1;search_2,multi_folder
53756868,search_1;search_2,multi_folder
58863230,search_1,proportional
52245868,search_1;search_2,multi_folder
8859322,search_4,min_requirement
57260521,search_1,proportional
57192695,search_1,fill_to_target
44544206,search_1,proportional
49992108,search_1,proportional
44038614,search_1,proportional
44038604,search_1,proportional
42218494,search_1,proportional
55642644,search_1,proportional
45265110,search_1,proportional
56979739,search_1,proportional
42218493,search_1,proportional
43957953,search_1,proportional
57748663,search_1,proportional
42426387,search_1,proportional
57518307,search_1,proportional
55450802,search_1,fill_to_target
39455096,search_1,proportional
54070803,search_2,proportional
44784263,search_1,proportional
20865281,search_1;search_3,multi_folder
50386293,search_1,proportional
56719088,search_1;search_2,multi_folder
53756917,search_1,proportional
54070827,search_2,fill_to_target
53756859,search_1,proportional
44110610,search_1,proportional
46467435,search_5,min_requirement
56979025,search_1,fill_to_target
57824420,search_1,proportional
54070830,search_2,proportional
50620882,search_1,proportional
54218109,search_2,fill_to_target
53756865,search_1;search_2,multi_folder
54218155,search_2,proportional
54070829,search_2,fill_to_target
50619876,search_1,fill_to_target
49617091,search_1;search_2,multi_folder
54051241,search_2,fill_to_target
50620718,search_1;search_2,multi_folder
44179688,search_1,proportional
42218464,search_1,proportional
54218158,search_2,fill_to_target
54218142,search_1;search_2,multi_folder
47561917,search_4,min_requirement
50619454,search_2,proportional
57578833,search_1,proportional
57008581,search_1,fill_to_target
57325746,search_2,fill_to_target
56719128,search_1;search_2,multi_folder
42218460,search_1,proportional
56726556,search_1;search_2,multi_folder
57897055,search_1,proportional
25733708,search_1,proportional
56092198,search_1,proportional
54218115,search_2,proportional
50619375,search_2,proportional
54218141,search_2,proportional
44179698,search_1,proportional
53756858,search_1;search_2,multi_folder
55553879,search_2,fill_to_target
56908111,search_1,proportional
56186331,search_1,proportional
50611653,search_1;search_2,multi_folder
57620916,search_1,proportional
53756857,search_1;search_2,multi_folder
55995566,search_1,proportional
44110605,search_1,proportional
57269497,search_1,proportional
54070816,search_2,fill_to_target
57749799,search_1,proportional
58863212,search_1,proportional
56841912,search_1,proportional
57377234,search_1;search_2,multi_folder
56980717,search_1,proportional
54218137,search_2,fill_to_target
57531366,search_1,proportional
57377269,search_1;search_2,multi_folder
54070814,search_2,proportional
54218145,search_2,proportional
53756861,search_1;search_2,multi_folder
56542960,search_2,proportional
