art_id,search_folders
5200449,search_1;search_3
5602538,search_1
7641595,search_4
8563603,search_4
10098116,search_1
12621550,search_4
12625322,search_1;search_2
12625337,search_1;search_2
13365815,search_4
13912861,search_4
14450672,search_4
14500630,search_4
17358386,search_1;search_3
17425707,search_1;search_2;search_3
18420301,search_1
18420307,search_1
19694110,search_1;search_2;search_3
20819564,search_1
20819570,search_1
20824191,search_1
20826087,search_1
20826088,search_1
20826090,search_1
20826092,search_1
21684339,search_1
22540981,search_1
24202488,search_1
26004685,search_1
26008956,search_1
26008958,search_1
26008963,search_1
26009007,search_1
26417081,search_4
26417282,search_4
26591365,search_1
26711751,search_1
27606275,search_1
28048543,search_1;search_2
28229134,search_1
28257131,search_1
31537413,search_1
31950409,search_1;search_2
31950411,search_1;search_2
33119964,search_1
33159563,search_4
34056309,search_1;search_2
34056317,search_1
35019000,search_2
35019007,search_1;search_2
35019024,search_1;search_2
35019028,search_1;search_2
35031971,search_1
35031974,search_1
35031977,search_1
35031979,search_1
35036523,search_1
35320384,search_1
35866290,search_4
35906806,search_1
35906834,search_1
35906962,search_1
36981279,search_2
37660059,search_4
38141404,search_4
38166482,search_2
38228893,search_1
39695119,search_1;search_2
40067409,search_1
40310530,search_2
40420694,search_1
40707097,search_1
41219041,search_1;search_2
41233193,search_1;search_2
41248441,search_1;search_2
41248453,search_1;search_2
41543449,search_1
42369412,search_4
42571265,search_1;search_3
43401213,search_4
43401217,search_4
43861169,search_1
43889686,search_1
43889703,search_1
43889748,search_1
43892590,search_1
44494156,search_1
44659838,search_1
45232893,search_1;search_2
45232896,search_1;search_2
45432697,search_1
45980722,search_4
46427817,search_2
46457869,search_1
46457871,search_1
46457873,search_1
46457874,search_1
46457875,search_1
46631539,search_4
46631547,search_4
46631563,search_4
46746872,search_1
46775962,search_1
47332996,search_5
47333186,search_4
47371157,search_1
47599923,search_2
48015213,search_1
48547099,search_2
48564120,search_1;search_2
48564136,search_2
48648168,search_1;search_2
48779451,search_2
48902447,search_2
48954596,search_2
48956613,search_2
49044151,search_1;search_2
49059459,search_2
49066465,search_2
49310724,search_2
49512225,search_1;search_2
49524971,search_2
49772624,search_2
50023799,search_2
50178781,search_4
50449031,search_4
50542000,search_1;search_2
50877781,search_1;search_2
50877814,search_1;search_2
50877828,search_2
50877873,search_2
50898760,search_2
51230738,search_5
51230740,search_5
51753748,search_2;search_4
52706673,search_1;search_2
53325353,search_1
53829095,search_4
54374747,search_4
54374749,search_4
54481775,search_1;search_2
55603708,search_2
55995919,search_5
55995945,search_4
56345245,search_1;search_5
56380766,search_1;search_5
56467687,search_1;search_2
57005533,search_1;search_2;search_4
57749990,search_1
58482051,search_5
58610175,search_1
58763908,search_1
58989004,search_1
59212617,search_1
59253169,search_1
59253243,search_1
