art_id,search_folders,selection_reason
43682558,search_1,proportional
53643594,search_5,min_requirement
25028418,search_1;search_3,multi_folder
36272050,search_1;search_3,multi_folder
58878576,search_6,min_requirement
35483181,search_2,proportional
57809425,search_5,proportional
56664349,search_1,proportional
53416258,search_1;search_3,multi_folder
53409709,search_5,proportional
35023045,search_3,fill_to_target
41653963,search_1,proportional
37034243,search_1;search_3,multi_folder
46659219,search_1;search_3,multi_folder
27769967,search_1;search_2;search_3,multi_folder
31614188,search_1;search_3,multi_folder
28188731,search_1,fill_to_target
56223409,search_5,proportional
54761263,search_5,min_requirement
56927244,search_1;search_3,multi_folder
53345402,search_5,fill_to_target
30212266,search_2,proportional
34339908,search_1,proportional
50864238,search_3,proportional
23863423,search_1,proportional
38093563,search_1;search_3,multi_folder
44842344,search_6,min_requirement
51663765,search_6,min_requirement
26799762,search_6,min_requirement
39832113,search_1,fill_to_target
44233704,search_1,proportional
39472574,search_2,fill_to_target
53409620,search_5,fill_to_target
22378283,search_1;search_3,multi_folder
39349414,search_2,proportional
44819633,search_2,proportional
47909061,search_2,fill_to_target
44976362,search_6,min_requirement
55240477,search_1;search_3,multi_folder
55024159,search_3,proportional
54223886,search_5,min_requirement
57365286,search_1,proportional
35878654,search_1;search_3,multi_folder
30022482,search_2,proportional
55808865,search_1,fill_to_target
54253255,search_5,proportional
27883721,search_1;search_3,multi_folder
31262693,search_1;search_2;search_3,multi_folder
53899263,search_5,fill_to_target
30380286,search_2,min_requirement
47398024,search_2,proportional
39349365,search_1;search_2,multi_folder
54357622,search_1;search_3,multi_folder
55646375,search_1;search_3,multi_folder
45248172,search_1,proportional
47882463,search_2,proportional
54761256,search_5,min_requirement
53700706,search_1,proportional
43474290,search_1;search_3,multi_folder
52854214,search_2,proportional
54915255,search_5,min_requirement
25033432,search_6,min_requirement
40082171,search_1;search_3,multi_folder
44756648,search_1;search_2,multi_folder
53244542,search_5,min_requirement
46282223,search_1;search_3,multi_folder
56166313,search_1,proportional
44977183,search_6,min_requirement
47392423,search_2,proportional
49646716,search_2,fill_to_target
27408095,search_3,proportional
55800706,search_1;search_3,multi_folder
33843115,search_1;search_2,multi_folder
57998976,search_5,proportional
27436113,search_6,min_requirement
57749485,search_5,min_requirement
29230671,search_1;search_3,multi_folder
56830392,search_1;search_2;search_5,multi_folder
32644537,search_1;search_3,multi_folder
56702379,search_5,min_requirement
56071527,search_1;search_3,multi_folder
47398027,search_2,proportional
42484376,search_3,fill_to_target
56539221,search_5,fill_to_target
27022217,search_6,min_requirement
56346920,search_1,proportional
47870666,search_1;search_3,multi_folder
53402507,search_2,min_requirement
27445234,search_2,proportional
51800580,search_1;search_2,multi_folder
57423301,search_5,proportional
56245977,search_3,proportional
33947267,search_1;search_2,multi_folder
55717707,search_5,proportional
47251991,search_2,fill_to_target
53516648,search_1,fill_to_target
59067321,search_5,min_requirement
53308435,search_5,fill_to_target
55668242,search_1;search_3,multi_folder
25033423,search_6,min_requirement
