art_id,search_folders,selection_reason
42571265,search_1;search_3,multi_folder
28229134,search_1,proportional
58610175,search_1,proportional
35320384,search_1,proportional
33159563,search_4,fill_to_target
58482051,search_5,min_requirement
28048543,search_1;search_2,multi_folder
12625322,search_1;search_2,multi_folder
26417282,search_4,min_requirement
43889703,search_1,proportional
53829095,search_4,min_requirement
35019024,search_1;search_2,multi_folder
13912861,search_4,min_requirement
35031971,search_1,proportional
12625337,search_1;search_2,multi_folder
39695119,search_1;search_2,multi_folder
21684339,search_1,proportional
48648168,search_1;search_2,multi_folder
56467687,search_1;search_2,multi_folder
47332996,search_5,min_requirement
49512225,search_1;search_2,multi_folder
13365815,search_4,min_requirement
14500630,search_4,proportional
5200449,search_1;search_3,multi_folder
41248453,search_1;search_2,multi_folder
40067409,search_1,proportional
46631563,search_4,proportional
43892590,search_1,proportional
45232893,search_1;search_2,multi_folder
54481775,search_1;search_2,multi_folder
43889686,search_1,fill_to_target
27606275,search_1,proportional
46631547,search_4,fill_to_target
35019007,search_1;search_2,multi_folder
35906962,search_1,proportional
20826090,search_1,proportional
17358386,search_1;search_3,multi_folder
19694110,search_1;search_2;search_3,multi_folder
34056317,search_1,proportional
56380766,search_1;search_5,multi_folder
40420694,search_1,proportional
41219041,search_1;search_2,multi_folder
49044151,search_1;search_2,multi_folder
35906834,search_1,proportional
26008956,search_1,fill_to_target
35031974,search_1,proportional
7641595,search_4,min_requirement
36981279,search_2,proportional
10098116,search_1,proportional
20826092,search_1,proportional
35906806,search_1,fill_to_target
46457874,search_1,fill_to_target
41233193,search_1;search_2,multi_folder
5602538,search_1,proportional
41248441,search_1;search_2,multi_folder
33119964,search_1,fill_to_target
20824191,search_1,proportional
58989004,search_1,proportional
43401213,search_4,fill_to_target
22540981,search_1,proportional
50542000,search_1;search_2,multi_folder
48956613,search_2,proportional
24202488,search_1,proportional
26008963,search_1,proportional
59212617,search_1,proportional
50877814,search_1;search_2,multi_folder
31950411,search_1;search_2,multi_folder
20819570,search_1,proportional
26004685,search_1,proportional
26417081,search_4,min_requirement
17425707,search_1;search_2;search_3,multi_folder
26008958,search_1,fill_to_target
31950409,search_1;search_2,multi_folder
50178781,search_4,min_requirement
51753748,search_2;search_4,multi_folder
45432697,search_1,proportional
54374747,search_4,fill_to_target
55995945,search_4,fill_to_target
43889748,search_1,proportional
46631539,search_4,fill_to_target
56345245,search_1;search_5,multi_folder
46746872,search_1,proportional
48564120,search_1;search_2,multi_folder
20826087,search_1,fill_to_target
31537413,search_1,proportional
34056309,search_1;search_2,multi_folder
48779451,search_2,proportional
57005533,search_1;search_2;search_4,multi_folder
54374749,search_4,proportional
50877781,search_1;search_2,multi_folder
51230740,search_5,min_requirement
55995919,search_5,min_requirement
45232896,search_1;search_2,multi_folder
51230738,search_5,min_requirement
50877873,search_2,proportional
43861169,search_1,proportional
47333186,search_4,min_requirement
18420307,search_1,proportional
35019028,search_1;search_2,multi_folder
52706673,search_1;search_2,multi_folder
