art_id,search_folders
34060,search_1
1173985,search_1;search_3
1590761,search_1
1679750,search_1;search_2
1679755,search_2
2109675,search_1;search_2
2477815,search_2
2993654,search_1
3598710,search_1
4832532,search_2
6691552,search_1
7523130,search_1;search_2;search_3
7524168,search_1;search_3
8323419,search_2
8323439,search_1
8368297,search_1
8491701,search_1;search_2;search_3
10281403,search_2
10762540,search_4
11882473,search_1;search_2
12648486,search_4
14066967,search_1
17347714,search_2
19125098,search_2
19702794,search_2
19702807,search_2
19702821,search_2
19702824,search_2
20720662,search_2
20720663,search_2
21016910,search_2
21170315,search_1
21193759,search_4
21471396,search_1;search_2
21471408,search_1
21491906,search_2
22339138,search_2
22999598,search_1
23371547,search_2
23478933,search_1
23525968,search_2
23636991,search_1;search_3
23664942,search_2
23923080,search_1
23923100,search_1
24175284,search_1;search_2
24287226,search_1
24389668,search_1
24426754,search_1
24431091,search_2
24457222,search_2
24602741,search_2
24930382,search_1
24983290,search_1;search_2
25150230,search_1
25619365,search_2
25619374,search_2
25619379,search_2
25619381,search_2
25619384,search_2
25619497,search_2
25619509,search_2
25619520,search_1;search_2
26211847,search_1;search_2
26211848,search_1;search_2
26368154,search_1
26540957,search_2
26602994,search_1
26837442,search_1
27402163,search_1;search_3
27426302,search_1;search_2
28846679,search_2
28846799,search_1;search_2
29309759,search_1
29587139,search_1
29602321,search_1;search_3
29629620,search_2
29629622,search_2
29985235,search_1
30088234,search_6
30116581,search_1;search_2
30351977,search_2
30393471,search_2
30411222,search_1
30605477,search_1;search_2
30822008,search_1
31775247,search_1
32661590,search_1;search_2;search_3
33292132,search_1;search_2
33550512,search_1
34340641,search_2
34355640,search_1
34722971,search_1
34733377,search_1
34863630,search_1
35095335,search_1
35590984,search_1
35941614,search_1
35963819,search_1
36356483,search_1;search_2
36497101,search_1
36663654,search_1;search_2
36665221,search_1;search_2
36839147,search_1
37839409,search_1
38138397,search_2
38154384,search_1
38164431,search_1;search_2
38164432,search_2
39355449,search_2
39387808,search_1;search_2
39815294,search_2
40074407,search_1
40165066,search_2
40353917,search_4
40415805,search_1
40420783,search_1
40891889,search_1
41176934,search_1
41356191,search_2
41715175,search_1;search_2
41778483,search_2
41778861,search_2
42709966,search_1;search_2
43831475,search_2
44819947,search_1
45157009,search_1
45264227,search_1
45283630,search_1
45283631,search_2
45318796,search_2
45323116,search_2
45354040,search_1
46099211,search_2
46126518,search_2
46330094,search_2
46336137,search_2
46363513,search_1
46712221,search_2
46740164,search_2
46740565,search_2
46909911,search_1
47041875,search_1
47219444,search_1
47325360,search_2
47419147,search_1
47450443,search_2
48446603,search_1;search_2
48720863,search_1
49232423,search_1;search_2
49565739,search_1
49674248,search_1;search_2
49821496,search_2
50432350,search_1;search_2
50577992,search_1;search_3
50637562,search_4
50870998,search_1;search_2
50870999,search_2
50871000,search_2
51273564,search_2
51362634,search_5
51362635,search_5
51362636,search_5
51362638,search_5
51362640,search_5
51362641,search_5
51362642,search_5
51362643,search_5
51362646,search_5
51453150,search_5
51453200,search_5
51549840,search_5
51549841,search_5
51549842,search_5
51721877,search_5
51745219,search_5
51778466,search_5
51800008,search_5
51800009,search_5
51800010,search_5
51800011,search_5
51800012,search_5
51800013,search_5
51800014,search_5
51800015,search_5
51800690,search_5
51813602,search_5
51813603,search_5
51813604,search_5
51813605,search_5
51813607,search_5
51813608,search_5
51813609,search_5
51813610,search_5
51813611,search_5
51813612,search_5
51813613,search_5
51813614,search_5
51813615,search_5
51813616,search_5
51813617,search_5
51841643,search_5
52137841,search_5
52399350,search_5
52495843,search_5
52614299,search_2
52614331,search_2
52804812,search_1;search_2
52862018,search_5
52869422,search_5
52890633,search_5
53078938,search_2
53078943,search_2
53078944,search_2
53078946,search_1
53078947,search_1;search_2;search_3
53078948,search_2
53078955,search_2
53140909,search_5
53228790,search_5
53380431,search_5
53381105,search_5
53381112,search_5
53381115,search_5
53381116,search_5
53381438,search_5
53381543,search_5
53382257,search_5
53382258,search_5
53382768,search_5
53383138,search_5
53805613,search_4
53981557,search_2
54012969,search_5
54070772,search_5
54070787,search_5
54070790,search_5
54207921,search_5
54225901,search_5
54550886,search_4
54554501,search_4
54616855,search_5
54777571,search_5
54825763,search_5
55052936,search_5
55052937,search_5
55052938,search_5
55052939,search_5
55052940,search_5
55052941,search_5
55052942,search_5
55052943,search_5
55052944,search_5
55052945,search_5
55478592,search_5
55478669,search_5
56089882,search_1;search_3
56139893,search_5
56264430,search_5
56264433,search_5
56264438,search_5
56334136,search_5
56334143,search_5
56334147,search_5
56521612,search_5
56521631,search_5
56659244,search_5
56735683,search_5
56744748,search_5
56761596,search_5
57188893,search_4
57219583,search_5
57223077,search_1
57230487,search_5
57802797,search_5
57802798,search_5
58051932,search_1
58438000,search_5
58906636,search_1
