art_id,search_folders,selection_reason
6229206,search_2;search_3,multi_folder
50343983,search_1;search_2,multi_folder
1581842,search_1;search_3,multi_folder
1803264,search_1;search_3,multi_folder
7709889,search_1;search_3,multi_folder
3624914,search_1;search_3,multi_folder
43842211,search_4,min_requirement
27811267,search_6,proportional
18853961,search_6,min_requirement
17699,search_1;search_3,multi_folder
389891,search_1;search_3,multi_folder
48549109,search_1;search_2,multi_folder
1038813,search_3,fill_to_target
27757294,search_1;search_2,multi_folder
53120206,search_1;search_3,multi_folder
27468403,search_2,proportional
9443386,search_1;search_3,multi_folder
14992637,search_1;search_2;search_3,multi_folder
4121123,search_1;search_3,multi_folder
26460517,search_1;search_2,multi_folder
6122652,search_1;search_3,multi_folder
33376662,search_1;search_2;search_3,multi_folder
1660601,search_1;search_3,multi_folder
21298132,search_1;search_2;search_3,multi_folder
12685740,search_4,min_requirement
26525947,search_1;search_3,multi_folder
21842612,search_1;search_2,multi_folder
10975557,search_1;search_3,multi_folder
10821389,search_4,min_requirement
26439689,search_1;search_3,multi_folder
15511685,search_1;search_3,multi_folder
44792555,search_6,min_requirement
22462410,search_4,min_requirement
48129070,search_1;search_3,multi_folder
33164404,search_1;search_3,multi_folder
47223845,search_6,min_requirement
6454062,search_1;search_3,multi_folder
33351092,search_1;search_2;search_3,multi_folder
397574,search_1;search_3,multi_folder
43420500,search_1;search_3,multi_folder
575288,search_1;search_3,multi_folder
51641329,search_1;search_2,multi_folder
2514865,search_1;search_3,multi_folder
53500359,search_1;search_2,multi_folder
27276971,search_1;search_2;search_3,multi_folder
42968705,search_1;search_2,multi_folder
29649342,search_4,min_requirement
54305862,search_5,min_requirement
26598122,search_1;search_3,multi_folder
18853866,search_6,min_requirement
52468458,search_1;search_2,multi_folder
17495986,search_1;search_2;search_3,multi_folder
22462425,search_4,min_requirement
21908271,search_1;search_3,multi_folder
21441126,search_1;search_3,multi_folder
744814,search_1;search_2;search_3,multi_folder
21908274,search_1;search_2,multi_folder
47162164,search_6,proportional
18853954,search_6,min_requirement
3892631,search_1;search_3,multi_folder
22270255,search_1;search_3,multi_folder
21791309,search_3,proportional
6122656,search_2;search_3,multi_folder
22641700,search_1;search_2,multi_folder
4902160,search_2;search_3,multi_folder
54306230,search_5,min_requirement
18853966,search_6,min_requirement
33885755,search_2,fill_to_target
18853848,search_6,min_requirement
52521585,search_1,proportional
30378716,search_6,min_requirement
18853849,search_6,min_requirement
51296407,search_5,min_requirement
10833266,search_1;search_3,multi_folder
27830221,search_6,min_requirement
1660650,search_2;search_3,multi_folder
6334746,search_1;search_3,multi_folder
12689072,search_4,min_requirement
22567563,search_1;search_3,multi_folder
21391849,search_1;search_3,multi_folder
22462431,search_4,min_requirement
1803378,search_1;search_3,multi_folder
47800593,search_2,proportional
2654662,search_1;search_3,multi_folder
14347387,search_4,min_requirement
34582094,search_1;search_2,multi_folder
848111,search_1;search_2,multi_folder
16638169,search_1;search_3,multi_folder
52860986,search_4,min_requirement
22325215,search_1;search_2,multi_folder
22325575,search_1;search_3,multi_folder
1925431,search_1;search_3,multi_folder
25706820,search_1;search_3,multi_folder
1803382,search_1;search_3,multi_folder
2198198,search_1;search_3,multi_folder
23102118,search_1,fill_to_target
8103882,search_1;search_3,multi_folder
4524424,search_2;search_3,multi_folder
17495990,search_1;search_2;search_3,multi_folder
22316982,search_1;search_3,multi_folder
