art_id,search_folders,selection_reason
50432159,search_1;search_2,multi_folder
47357262,search_1,proportional
54481517,search_1;search_2,multi_folder
49706594,search_6,min_requirement
54481328,search_1;search_2,multi_folder
57968393,search_5,min_requirement
37563391,search_4,proportional
58491202,search_5,min_requirement
51312123,search_4,proportional
56563450,search_1;search_2,multi_folder
55311653,search_4,proportional
58581710,search_5,min_requirement
37563395,search_4,min_requirement
50432162,search_1;search_2,multi_folder
54481311,search_1;search_2,multi_folder
53829591,search_1;search_2;search_3,multi_folder
25129787,search_6,min_requirement
51330585,search_1;search_2,multi_folder
27876063,search_4,min_requirement
38414675,search_4,proportional
59236378,search_5,fill_to_target
45216853,search_1,proportional
45336496,search_4,min_requirement
59248538,search_5,fill_to_target
49495373,search_6,min_requirement
52491097,search_4,fill_to_target
50968066,search_4,proportional
57968358,search_5,proportional
47199924,search_4,min_requirement
58491920,search_5,min_requirement
54481345,search_1;search_2,multi_folder
54659035,search_1,proportional
55136959,search_6,min_requirement
59248552,search_5,proportional
43285606,search_6,min_requirement
37563379,search_4,min_requirement
53131682,search_4,proportional
59248481,search_5,fill_to_target
57656464,search_1,proportional
40280876,search_1;search_3,multi_folder
57968311,search_5,min_requirement
54481770,search_1;search_2,multi_folder
59047362,search_4,proportional
57968166,search_5,fill_to_target
58261524,search_5,proportional
29542496,search_4,proportional
45452761,search_4,min_requirement
42427905,search_6,proportional
58581721,search_5,min_requirement
57967754,search_5,proportional
49150520,search_6,min_requirement
59222403,search_5,proportional
53284819,search_1;search_2,multi_folder
57967579,search_5,proportional
51367221,search_1;search_2,multi_folder
58773226,search_5,fill_to_target
46387383,search_1,proportional
50432164,search_1;search_2,multi_folder
59253531,search_5,fill_to_target
50432166,search_1;search_2,multi_folder
49657944,search_4,proportional
57798373,search_5,min_requirement
58246886,search_5,proportional
57655684,search_1,fill_to_target
43285607,search_6,min_requirement
57967963,search_5,proportional
46387197,search_1,proportional
56654152,search_1,fill_to_target
49645503,search_4,fill_to_target
35703594,search_4,fill_to_target
56098263,search_1;search_2,multi_folder
57559607,search_5,min_requirement
56563436,search_1;search_2,multi_folder
42886975,search_1,proportional
46387222,search_1,proportional
47246823,search_4,proportional
57968636,search_5,proportional
58321992,search_5,proportional
49828663,search_4,proportional
37563377,search_4,min_requirement
51367095,search_1;search_2,multi_folder
58491906,search_5,fill_to_target
56654154,search_1,proportional
42427907,search_6,min_requirement
50432165,search_1;search_2;search_3,multi_folder
37563369,search_4,min_requirement
51330605,search_1;search_2,multi_folder
54901778,search_6,min_requirement
57655535,search_1,fill_to_target
55311656,search_4,min_requirement
49828667,search_4,proportional
49645441,search_4,fill_to_target
57967868,search_5,proportional
57967834,search_5,min_requirement
49104466,search_6,min_requirement
51744828,search_4,proportional
56872893,search_4,min_requirement
58483214,search_5,min_requirement
55751458,search_4,fill_to_target
37563376,search_4,proportional
