art_id,search_folders
25129787,search_6
25129792,search_6
25129797,search_6
25129802,search_6
25129807,search_6
27698714,search_4
27698718,search_4
27698722,search_4
27876063,search_4
27938380,search_4
29542494,search_4
29542496,search_4
31188962,search_4
35703594,search_4
36072095,search_4
36545751,search_1
37563356,search_4
37563369,search_4
37563376,search_4
37563377,search_4
37563379,search_4
37563384,search_4
37563391,search_4
37563395,search_4
37563396,search_4
38305340,search_4
38414675,search_4
40280876,search_1;search_3
41200666,search_4
42427905,search_6
42427907,search_6
42801576,search_1
42886975,search_1
42889765,search_4
42998667,search_4
43285606,search_6
43285607,search_6
43285608,search_6
43561650,search_4
43802384,search_6
43980956,search_4
44205105,search_6
45216853,search_1
45216854,search_1
45336487,search_4
45336489,search_4
45336496,search_4
45336497,search_4
45452758,search_4
45452761,search_4
45939361,search_1
46387095,search_1
46387120,search_1
46387152,search_1
46387197,search_1
46387222,search_1
46387265,search_1
46387282,search_1
46387383,search_1
47178680,search_4
47180290,search_4
47180291,search_4
47199924,search_4
47199926,search_4
47199927,search_4
47199928,search_4
47246820,search_4
47246822,search_4
47246823,search_4
47356384,search_1
47356388,search_1
47357258,search_1
47357262,search_1
47357263,search_1
47804814,search_1
49104466,search_6
49150520,search_6
49495373,search_6
49527313,search_6
49574788,search_6
49645441,search_4
49645494,search_4
49645503,search_4
49657944,search_4
49706594,search_6
49827213,search_4
49828663,search_4
49828667,search_4
49828676,search_4
49828680,search_4
49828848,search_4
50432159,search_1;search_2
50432162,search_1;search_2
50432164,search_1;search_2
50432165,search_1;search_2;search_3
50432166,search_1;search_2
50680288,search_1
50968066,search_4
51312123,search_4
51330585,search_1;search_2
51330605,search_1;search_2
51367095,search_1;search_2
51367221,search_1;search_2
51396054,search_4
51680722,search_4
51744828,search_4
51814262,search_4
51986423,search_4
52161096,search_4
52491097,search_4
53131682,search_4
53284819,search_1;search_2
53671739,search_4
53751683,search_4
53785528,search_4
53829591,search_1;search_2;search_3
54481311,search_1;search_2
54481328,search_1;search_2
54481345,search_1;search_2
54481517,search_1;search_2
54481770,search_1;search_2
54659035,search_1
54901606,search_6
54901654,search_6
54901778,search_6
54962134,search_1
55136959,search_6
55311652,search_4
55311653,search_4
55311654,search_4
55311655,search_4
55311656,search_4
55311657,search_4
55311658,search_4
55311660,search_4
55311661,search_4
55311662,search_4
55311663,search_4
55706991,search_4
55751457,search_4
55751458,search_4
56098263,search_1;search_2
56563436,search_1;search_2
56563450,search_1;search_2
56654150,search_1
56654151,search_1
56654152,search_1
56654153,search_1
56654154,search_1
56847285,search_4
56851409,search_4
56872305,search_1
56872893,search_4
56908171,search_4
57433459,search_5
57433462,search_5
57515600,search_5
57557341,search_6
57559607,search_5
57655535,search_1
57655684,search_1
57655944,search_1
57656081,search_1
57656221,search_1
57656330,search_1
57656464,search_1
57657468,search_1
57798373,search_5
57967531,search_5
57967533,search_5
57967579,search_5
57967597,search_5
57967678,search_5
57967754,search_5
57967834,search_5
57967862,search_5
57967868,search_5
57967909,search_5
57967963,search_5
57967993,search_5
57968060,search_5
57968086,search_5
57968090,search_5
57968098,search_5
57968132,search_5
57968166,search_5
57968230,search_5
57968232,search_5
57968256,search_5
57968261,search_5
57968311,search_5
57968358,search_5
57968393,search_5
57968396,search_5
57968443,search_5
57968474,search_5
57968568,search_5
57968636,search_5
57973955,search_5
57973966,search_5
57973971,search_5
57975230,search_1
57986138,search_5
57997478,search_5
58142308,search_5
58234636,search_5
58246886,search_5
58248589,search_5
58248594,search_5
58248608,search_5
58248613,search_5
58252497,search_5
58254181,search_5
58260959,search_5
58261425,search_5
58261524,search_5
58268923,search_5
58321992,search_5
58483214,search_5
58483273,search_5
58486789,search_5
58487054,search_5
58488704,search_5
58489262,search_5
58490115,search_5
58490300,search_5
58490798,search_5
58490992,search_5
58491202,search_5
58491246,search_5
58491629,search_5
58491752,search_5
58491771,search_5
58491806,search_5
58491906,search_5
58491920,search_5
58492018,search_5
58492055,search_5
58492168,search_5
58581710,search_5
58581720,search_5
58581721,search_5
58581732,search_5
58582460,search_5
58773226,search_5
58879164,search_5
59047362,search_4
59216400,search_5
59222403,search_5
59236378,search_5
59243349,search_5
59243414,search_5
59245555,search_5
59246145,search_5
59246146,search_5
59248481,search_5
59248493,search_5
59248518,search_5
59248538,search_5
59248552,search_5
59248597,search_5
59248601,search_5
59248608,search_5
59248883,search_5
59253531,search_5
