art_id,search_folders
17699,search_1;search_3
389891,search_1;search_3
397574,search_1;search_3
575288,search_1;search_3
743250,search_3
744814,search_1;search_2;search_3
784422,search_3
848111,search_1;search_2
892512,search_3
1038813,search_3
1329351,search_2
1581842,search_1;search_3
1660601,search_1;search_3
1660650,search_2;search_3
1721079,search_6
1803264,search_1;search_3
1803378,search_1;search_3
1803382,search_1;search_3
1925431,search_1;search_3
1982137,search_1
2072128,search_3
2094049,search_3
2190857,search_3
2198198,search_1;search_3
2463313,search_3
2514865,search_1;search_3
2654662,search_1;search_3
2725100,search_3
3056510,search_1
3056512,search_3
3162814,search_3
3624914,search_1;search_3
3892631,search_1;search_3
4121123,search_1;search_3
4294593,search_3
4524424,search_2;search_3
4902160,search_2;search_3
5851485,search_2
5965997,search_3
6002979,search_2
6122652,search_1;search_3
6122656,search_2;search_3
6137174,search_3
6137179,search_2
6147017,search_3
6229206,search_2;search_3
6266244,search_3
6334746,search_1;search_3
6371850,search_1
6454062,search_1;search_3
7709889,search_1;search_3
8088720,search_2
8103882,search_1;search_3
8221532,search_2
9443386,search_1;search_3
10198401,search_4
10303060,search_2
10755320,search_2
10773195,search_3
10821389,search_4
10833266,search_1;search_3
10917244,search_3
10975557,search_1;search_3
11128224,search_3
11729417,search_3
11789650,search_6
11822002,search_3
12482494,search_2
12587644,search_4
12685740,search_4
12689072,search_4
12730397,search_4
13232345,search_4
14029679,search_1
14347387,search_4
14614028,search_4
14992637,search_1;search_2;search_3
15271144,search_3
15511685,search_1;search_3
15710038,search_1
15710055,search_2
15722573,search_3
16638169,search_1;search_3
17306178,search_1
17306182,search_3
17464889,search_2
17495986,search_1;search_2;search_3
17495990,search_1;search_2;search_3
18030655,search_2
18061323,search_2
18380839,search_1
18581799,search_3
18853847,search_6
18853848,search_6
18853849,search_6
18853852,search_6
18853854,search_6
18853857,search_6
18853858,search_6
18853859,search_6
18853861,search_6
18853866,search_6
18853868,search_6
18853919,search_6
18853922,search_6
18853924,search_6
18853925,search_6
18853929,search_6
18853932,search_6
18853936,search_6
18853937,search_6
18853940,search_6
18853943,search_6
18853948,search_6
18853953,search_6
18853954,search_6
18853958,search_6
18853961,search_6
18853963,search_6
18853966,search_6
18853972,search_6
18853974,search_6
18853975,search_6
18853976,search_6
18853977,search_6
19348255,search_3
19562460,search_1
19562469,search_3
21032336,search_1
21298132,search_1;search_2;search_3
21391849,search_1;search_3
21441126,search_1;search_3
21441142,search_2
21504905,search_1
21546816,search_3
21623232,search_2
21791309,search_3
21842612,search_1;search_2
21895031,search_1
21895034,search_2
21895767,search_2
21907910,search_1
21908271,search_1;search_3
21908274,search_1;search_2
22039668,search_2
22270252,search_3
22270255,search_1;search_3
22316982,search_1;search_3
22325074,search_2
22325215,search_1;search_2
22325250,search_2
22325545,search_2
22325575,search_1;search_3
22325598,search_3
22375448,search_2
22420719,search_2
22462389,search_4
22462392,search_4
22462393,search_4
22462394,search_4
22462396,search_4
22462410,search_4
22462425,search_4
22462426,search_4
22462431,search_4
22462440,search_4
22462441,search_4
22567563,search_1;search_3
22641700,search_1;search_2
22641715,search_3
23102118,search_1
23720425,search_1
25410304,search_1
25566004,search_6
25706820,search_1;search_3
26001372,search_1
26001421,search_2
26439689,search_1;search_3
26460517,search_1;search_2
26525947,search_1;search_3
26526008,search_3
26551931,search_2
26579876,search_1
26598122,search_1;search_3
26647906,search_3
26649904,search_2
26975824,search_2
27013175,search_3
27018223,search_3
27063392,search_3
27097049,search_3
27204544,search_4
27244588,search_2
27276971,search_1;search_2;search_3
27282480,search_3
27353889,search_6
27387594,search_1
27468403,search_2
27468451,search_1
27474505,search_2
27499948,search_3
27595948,search_6
27725102,search_2
27757294,search_1;search_2
27811147,search_6
27811230,search_6
27811245,search_6
27811267,search_6
27811289,search_6
27811792,search_6
27811853,search_6
27811909,search_6
27812246,search_6
27830005,search_6
27830007,search_6
27830010,search_6
27830020,search_6
27830021,search_6
27830027,search_6
27830028,search_6
27830029,search_6
27830070,search_6
27830089,search_6
27830099,search_6
27830106,search_6
27830131,search_6
27830138,search_6
27830172,search_6
27830188,search_6
27830194,search_6
27830221,search_6
27830236,search_6
27896421,search_2
27923975,search_6
28044365,search_2
28098486,search_2
28150780,search_6
28473866,search_6
28696038,search_6
28853829,search_2
29649342,search_4
30291266,search_1
30351983,search_2
30378714,search_6
30378716,search_6
31030454,search_6
31078912,search_3
31117816,search_6
31538965,search_6
31616567,search_2
32410119,search_6
32661249,search_1
32769911,search_3
32858783,search_3
32965691,search_1
33164404,search_1;search_3
33351092,search_1;search_2;search_3
33376662,search_1;search_2;search_3
33748549,search_3
33885755,search_2
33949137,search_2
34197132,search_2
34247851,search_3
34582094,search_1;search_2
34595391,search_2
35218977,search_1
35856514,search_2
36695102,search_6
37777194,search_2
37781983,search_2
37889331,search_2
38463168,search_2
38803466,search_1
39194331,search_4
39392298,search_1
39827445,search_2
40218058,search_1
42211494,search_2
42968705,search_1;search_2
43420500,search_1;search_3
43533146,search_2
43588209,search_2
43619694,search_1
43842211,search_4
43842217,search_4
43842218,search_4
44052075,search_4
44792555,search_6
44792561,search_6
44987903,search_2
44987904,search_2
47056388,search_1
47087475,search_6
47162120,search_6
47162143,search_6
47162147,search_6
47162150,search_6
47162164,search_6
47223810,search_6
47223814,search_6
47223821,search_6
47223832,search_6
47223835,search_6
47223841,search_6
47223845,search_6
47231035,search_6
47231040,search_6
47231063,search_6
47253735,search_2
47296629,search_4
47744071,search_1
47800593,search_2
47931908,search_2
48052532,search_2
48129070,search_1;search_3
48497122,search_3
48534868,search_1
48549109,search_1;search_2
48674376,search_1
48691111,search_2
49674309,search_1
50203276,search_1
50343983,search_1;search_2
