art_id,search_folders,selection_reason
996441,search_1;search_3,multi_folder
28481859,search_2,min_requirement
56574244,search_2,min_requirement
49563688,search_2,proportional
53244165,search_5,fill_to_target
55597368,search_5,min_requirement
31634831,search_4,min_requirement
26509397,search_4,proportional
976170,search_3,proportional
34526342,search_2,min_requirement
987449,search_1;search_3,multi_folder
26014365,search_2,min_requirement
56687044,search_5,min_requirement
6387730,search_2,proportional
21756733,search_4,min_requirement
51280815,search_6,min_requirement
20686398,search_4,min_requirement
58869444,search_4,fill_to_target
9367334,search_1;search_3,multi_folder
21991809,search_4,proportional
27226560,search_1,proportional
30418055,search_3,proportional
48505763,search_2,min_requirement
37754054,search_4,min_requirement
25540836,search_4,min_requirement
20513092,search_2,proportional
1113019,search_3,min_requirement
53824589,search_5,min_requirement
1496944,search_1;search_3,multi_folder
2042174,search_3,proportional
27207248,search_1,proportional
40401681,search_2,proportional
57743257,search_5,min_requirement
18397114,search_1,proportional
22487039,search_1,proportional
10092394,search_1,proportional
56078585,search_5,proportional
13459044,search_2,proportional
54701416,search_5,proportional
48229242,search_6,min_requirement
43997692,search_4,min_requirement
13837314,search_3,proportional
1805600,search_1,fill_to_target
44303058,search_2,proportional
37905659,search_2,proportional
133859,search_2;search_3,multi_folder
56277358,search_5,min_requirement
20399721,search_2,min_requirement
25062653,search_2,fill_to_target
9654403,search_3,fill_to_target
29148310,search_4,proportional
8835902,search_1,proportional
20237689,search_4,min_requirement
51754284,search_5,fill_to_target
55829955,search_5,min_requirement
767835,search_1,fill_to_target
47347842,search_6,min_requirement
57739177,search_5,proportional
10428264,search_1,min_requirement
36053216,search_2,fill_to_target
50224037,search_1,min_requirement
47717376,search_4,fill_to_target
46579630,search_1,proportional
13951016,search_1;search_3,multi_folder
4006592,search_2,min_requirement
56100919,search_2,fill_to_target
30773466,search_3,proportional
23014468,search_4,proportional
27771423,search_4,fill_to_target
13367361,search_1,proportional
34473581,search_1,fill_to_target
27208474,search_1,proportional
31290683,search_4,proportional
27285217,search_3,proportional
55496922,search_5,fill_to_target
53476536,search_5,min_requirement
13876493,search_2,min_requirement
57219551,search_5,min_requirement
51730952,search_2,min_requirement
47608425,search_2,proportional
8743879,search_1,proportional
49710548,search_2,proportional
19920764,search_1,fill_to_target
53384862,search_5,fill_to_target
57977185,search_4,proportional
25971392,search_4,min_requirement
33726373,search_1;search_3,multi_folder
39306690,search_2,fill_to_target
30348860,search_1,proportional
54580044,search_5,min_requirement
1885093,search_1;search_3,multi_folder
45492540,search_4,min_requirement
28164369,search_1;search_3,multi_folder
43987283,search_6,min_requirement
39439885,search_1,fill_to_target
35995377,search_4,min_requirement
927786,search_3,proportional
54517298,search_5,fill_to_target
55262462,search_5,proportional
57650416,search_5,min_requirement
