art_id,search_folders
8859322,search_4
20865281,search_1;search_3
25733708,search_1
35412851,search_1;search_2
37524828,search_1
39455096,search_1
42218460,search_1
42218464,search_1
42218493,search_1
42218494,search_1
42218500,search_1;search_2
42426387,search_1
42495182,search_1
43957953,search_1
44038604,search_1
44038614,search_1
44110604,search_1
44110605,search_1
44110610,search_1
44110615,search_1
44179688,search_1
44179698,search_1
44542624,search_1
44544198,search_1
44544202,search_1
44544206,search_1
44784263,search_1
45265055,search_1
45265110,search_1
46467435,search_5
47520239,search_1
47561917,search_4
49263914,search_2
49617091,search_1;search_2
49992108,search_1
50386293,search_1
50611012,search_2
50611653,search_1;search_2
50619274,search_1
50619375,search_2
50619396,search_1
50619420,search_2
50619454,search_2
50619469,search_1
50619654,search_1
50619712,search_1
50619876,search_1
50620718,search_1;search_2
50620882,search_1
51343272,search_2
52245868,search_1;search_2
53072249,search_2
53377654,search_2
53440535,search_1
53756831,search_1
53756857,search_1;search_2
53756858,search_1;search_2
53756859,search_1
53756861,search_1;search_2
53756865,search_1;search_2
53756868,search_1;search_2
53756871,search_1;search_2
53756916,search_1;search_2
53756917,search_1
53785283,search_2
53870081,search_2
54051239,search_2
54051241,search_2
54070803,search_2
54070812,search_2
54070814,search_2
54070816,search_2
54070827,search_2
54070829,search_2
54070830,search_2
54070831,search_2
54070836,search_2
54218108,search_2
54218109,search_2
54218115,search_2
54218117,search_2
54218118,search_2
54218121,search_2
54218123,search_2
54218125,search_2
54218129,search_2
54218131,search_2
54218133,search_2
54218134,search_2
54218137,search_2
54218139,search_2
54218141,search_2
54218142,search_1;search_2
54218145,search_2
54218147,search_2
54218150,search_2
54218153,search_2
54218155,search_2
54218158,search_2
54218160,search_2
54218163,search_2
54851518,search_1;search_3
55450802,search_1
55553879,search_2
55642644,search_1
55995566,search_1
56092198,search_1
56092210,search_1
56186306,search_1
56186331,search_1
56542960,search_2
56564165,search_1
56719088,search_1;search_2
56719128,search_1;search_2
56726556,search_1;search_2
56786129,search_1;search_2
56841912,search_1
56908111,search_1
56959245,search_1
56979025,search_1
56979739,search_1
56980179,search_1
56980344,search_1
56980717,search_1
56980724,search_1
56984309,search_1
57008581,search_1
57192695,search_1
57259162,search_1
57260521,search_1
57269497,search_1
57312339,search_1
57325746,search_2
57377234,search_1;search_2
57377269,search_1;search_2
57430685,search_1
57518307,search_1
57518309,search_1
57531366,search_1
57578833,search_1
57620914,search_1
57620916,search_1
57746912,search_1
57748663,search_1
57749799,search_1
57824420,search_1
57897055,search_1
58863212,search_1
58863230,search_1
58865874,search_1
