art_id,search_folders
22378283,search_1;search_3
22457642,search_2
23745737,search_2
23863423,search_1
24489536,search_2
24489554,search_2
24489558,search_2
24550533,search_1
25028418,search_1;search_3
25029990,search_3
25033423,search_6
25033432,search_6
25209624,search_1
25238481,search_1
25972453,search_2
26799762,search_6
26917951,search_1
27022217,search_6
27305614,search_3
27408095,search_3
27436113,search_6
27445208,search_2
27445219,search_2
27445224,search_2
27445226,search_2
27445233,search_2
27445234,search_2
27595937,search_6
27769967,search_1;search_2;search_3
27883721,search_1;search_3
28188731,search_1
29230671,search_1;search_3
29287287,search_1
30022482,search_2
30212266,search_2
30380286,search_2
30434588,search_1
30559444,search_2
30559571,search_2
31262693,search_1;search_2;search_3
31614188,search_1;search_3
32423685,search_3
32644537,search_1;search_3
32821696,search_1
32858803,search_2
33335706,search_1
33843115,search_1;search_2
33910158,search_3
33947267,search_1;search_2
34150822,search_2
34339908,search_1
34346608,search_1
34987626,search_3
35023045,search_3
35134820,search_3
35483179,search_2
35483181,search_2
35621267,search_3
35878654,search_1;search_3
36186386,search_2
36186390,search_2
36186477,search_2
36186511,search_2
36272050,search_1;search_3
37034243,search_1;search_3
37216148,search_1
37368543,search_1
37440950,search_1
37463628,search_1
38000206,search_2
38093563,search_1;search_3
38404008,search_1
38460093,search_1
39115284,search_1
39349365,search_1;search_2
39349369,search_2
39349409,search_2
39349414,search_2
39368003,search_1
39472574,search_2
39601424,search_3
39740344,search_1
39832113,search_1
39988736,search_1
40082171,search_1;search_3
40301184,search_2
40326604,search_2
40481963,search_1
40724299,search_2
41209502,search_3
41209503,search_1
41449494,search_2
41653963,search_1
42424719,search_3
42484376,search_3
42521609,search_1
42580772,search_2
43474290,search_1;search_3
43682558,search_1
44233704,search_1
44297614,search_2
44372976,search_1
44380354,search_1
44617376,search_1
44756648,search_1;search_2
44819633,search_2
44842344,search_6
44955079,search_6
44974728,search_6
44976362,search_6
44976389,search_1
44976390,search_6
44977183,search_6
45088698,search_1
45088699,search_1
45248172,search_1
45395235,search_1
45622572,search_2
45703439,search_1
46282223,search_1;search_3
46467482,search_2
46476720,search_2
46579436,search_1
46659219,search_1;search_3
46765699,search_2
47030222,search_2
47251991,search_2
47252016,search_2
47298404,search_1
47392423,search_2
47398024,search_2
47398027,search_2
47398030,search_2
47650311,search_2
47746935,search_1
47870666,search_1;search_3
47882463,search_2
47882467,search_2
47909061,search_2
47909072,search_2
48040611,search_2
48050883,search_2
48060488,search_2
48404179,search_2
48404184,search_2
48847990,search_2
49023399,search_2
49036343,search_2
49090887,search_2
49646716,search_2
49646732,search_3
49646763,search_3
49646778,search_2
49699808,search_2
49744788,search_2
49809267,search_1
49858961,search_3
49872924,search_2
50192434,search_2
50433660,search_2
50864238,search_3
50864381,search_2
50896186,search_3
50896215,search_3
51111810,search_2
51125539,search_2
51125544,search_2
51125551,search_2
51131705,search_2
51131708,search_1
51315950,search_2
51663765,search_6
51800580,search_1;search_2
52030393,search_3
52064873,search_3
52641459,search_2
52702589,search_2
52702592,search_3
52844600,search_3
52854214,search_2
52854236,search_2
52980018,search_3
52980029,search_3
53115463,search_2
53209131,search_5
53209132,search_5
53209350,search_3
53244304,search_5
53244542,search_5
53308434,search_5
53308435,search_5
53345402,search_5
53377059,search_5
53395980,search_5
53402507,search_2
53409620,search_5
53409660,search_5
53409709,search_5
53416258,search_1;search_3
53484383,search_5
53516648,search_1
53643594,search_5
53700706,search_1
53724198,search_3
53724208,search_3
53729041,search_5
53788160,search_5
53899263,search_5
54223886,search_5
54253255,search_5
54258449,search_5
54258450,search_5
54275165,search_5
54324889,search_5
54354444,search_5
54357622,search_1;search_3
54419507,search_5
54421011,search_5
54441763,search_3
54487817,search_5
54745212,search_5
54761256,search_5
54761258,search_5
54761259,search_5
