art_id,search_folders,selection_reason
54554501,search_4,min_requirement
51362640,search_5,min_requirement
12648486,search_4,min_requirement
30116581,search_1;search_2,multi_folder
11882473,search_1;search_2,multi_folder
33550512,search_1,proportional
56334143,search_5,proportional
25619520,search_1;search_2,multi_folder
1679750,search_1;search_2,multi_folder
24457222,search_2,proportional
51362638,search_5,min_requirement
49232423,search_1;search_2,multi_folder
51813615,search_5,proportional
29602321,search_1;search_3,multi_folder
46740164,search_2,fill_to_target
30088234,search_6,min_requirement
1173985,search_1;search_3,multi_folder
34340641,search_2,proportional
50637562,search_4,min_requirement
36497101,search_1,proportional
52890633,search_5,fill_to_target
36356483,search_1;search_2,multi_folder
46126518,search_2,fill_to_target
2109675,search_1;search_2,multi_folder
30605477,search_1;search_2,multi_folder
55052943,search_5,min_requirement
24602741,search_2,proportional
10762540,search_4,min_requirement
50577992,search_1;search_3,multi_folder
40891889,search_1,proportional
30822008,search_1,proportional
52614299,search_2,proportional
7523130,search_1;search_2;search_3,multi_folder
54207921,search_5,fill_to_target
51813605,search_5,min_requirement
50432350,search_1;search_2,multi_folder
53380431,search_5,proportional
27402163,search_1;search_3,multi_folder
36663654,search_1;search_2,multi_folder
51813603,search_5,min_requirement
57188893,search_4,min_requirement
41715175,search_1;search_2,multi_folder
29587139,search_1,fill_to_target
41778861,search_2,proportional
24287226,search_1,proportional
57219583,search_5,fill_to_target
27426302,search_1;search_2,multi_folder
54070772,search_5,fill_to_target
28846799,search_1;search_2,multi_folder
51778466,search_5,proportional
46363513,search_1,proportional
54070790,search_5,min_requirement
38164431,search_1;search_2,multi_folder
25619497,search_2,proportional
45264227,search_1,proportional
35590984,search_1,proportional
24431091,search_2,proportional
51745219,search_5,proportional
55052937,search_5,min_requirement
53078947,search_1;search_2;search_3,multi_folder
51362643,search_5,proportional
26211848,search_1;search_2,multi_folder
24930382,search_1,proportional
46740565,search_2,proportional
51549840,search_5,min_requirement
53805613,search_4,min_requirement
7524168,search_1;search_3,multi_folder
36839147,search_1,fill_to_target
21471396,search_1;search_2,multi_folder
21193759,search_4,min_requirement
42709966,search_1;search_2,multi_folder
51721877,search_5,proportional
51453200,search_5,fill_to_target
40074407,search_1,proportional
26540957,search_2,fill_to_target
49674248,search_1;search_2,multi_folder
34060,search_1,proportional
33292132,search_1;search_2,multi_folder
46099211,search_2,proportional
24175284,search_1;search_2,multi_folder
50870998,search_1;search_2,multi_folder
39387808,search_1;search_2,multi_folder
54550886,search_4,min_requirement
55052941,search_5,min_requirement
32661590,search_1;search_2;search_3,multi_folder
40353917,search_4,min_requirement
53381115,search_5,proportional
41176934,search_1,proportional
52804812,search_1;search_2,multi_folder
53381116,search_5,min_requirement
26211847,search_1;search_2,multi_folder
51841643,search_5,fill_to_target
24983290,search_1;search_2,multi_folder
56089882,search_1;search_3,multi_folder
48446603,search_1;search_2,multi_folder
53228790,search_5,proportional
8491701,search_1;search_2;search_3,multi_folder
23636991,search_1;search_3,multi_folder
51813613,search_5,fill_to_target
36665221,search_1;search_2,multi_folder
